trade_date,Open,Close,High,Low,Volume,CPI,PPI,PMI,Daily_PCT_Change,Mean,EMA,Volatility,Long_Mean,Long_Volatility,Lag_22,Lag_60,Close_Trend,Close_Seasonal,Close_Residual,Volume_Change,Volume_Zscore,Volume_Anomaly_Zscore,Volume_outlier,Volume_corrected
2010-06-01,986.02,973.23,994.79,948.12,1356285.0,99.9,107.1,53.9,0.0,0.0,973.23,0.0,0.0,0.0,0.0,0.0,0.0,1.0000766450447793,0.0,0.0,-1.0079052648202482,0,False,1356285.0
2010-06-02,967.61,997.12,997.12,952.61,1074627.0,99.9,107.1,53.9,2.454712657850666,0.0,975.5052380952382,0.0,0.0,0.0,0.0,0.0,0.0,0.9962372961079612,0.0,-0.20766874218914166,-1.012140328809017,0,False,1074627.0
2010-06-03,1002.35,998.39,1026.7,997.78,1616805.0,99.9,107.1,53.9,0.12736681643132908,0.0,977.684739229025,0.0,0.0,0.0,0.0,0.0,0.0,0.9973830925479957,0.0,0.504526686934164,-1.003988035874669,0,False,1616805.0
2010-06-04,989.68,1027.68,1027.68,986.5,1500295.0,99.9,107.1,53.9,2.9337232945041647,0.0,982.4461926357845,0.0,0.0,0.0,0.0,0.0,0.0,0.9959558279830564,0.0,-0.0720618751179023,-1.0057399026965999,0,False,1500295.0
2010-06-07,1005.03,1069.47,1075.22,1001.7,2655275.0,99.9,107.1,53.9,4.066440915460068,0.0,990.7341742895194,0.0,0.0,0.0,0.0,0.0,0.0,1.002674211026242,0.0,0.769835265731073,-0.9883734007483221,0,False,2655275.0
2010-06-08,1067.32,1067.15,1075.5,1050.96,1976720.0,99.9,107.1,53.9,-0.21692988115608047,0.0,998.0118719762319,0.0,0.0,0.0,0.0,0.0,0.0,0.9995342199893524,0.0,-0.2555498018096054,-0.9985762845467546,0,False,1976720.0
2010-06-09,1070.85,1077.82,1102.1,1069.43,2541568.0,99.9,107.1,53.9,0.9998594386918302,0.0,1005.6126460737336,0.0,0.0,0.0,0.0,0.0,0.0,0.9956202585051317,0.0,0.28575013153102113,-0.9900831211218636,0,False,2541568.0
2010-06-10,1077.68,1117.48,1119.11,1076.28,2197404.0,99.9,107.1,53.9,3.6796496632090836,0.0,1016.266679780997,0.0,0.0,0.0,0.0,0.0,0.0,0.9976569959721343,0.0,-0.13541404361402098,-0.9952580373771468,0,False,2197404.0
2010-06-11,1122.44,1122.2,1128.23,1118.71,2224874.0,99.9,107.1,53.9,0.4223789240075826,0.0,1026.3555674209022,0.0,0.0,0.0,0.0,0.0,0.0,0.9964001475029046,0.0,0.012501114952006898,-0.994844993161213,0,False,2224874.0
2010-06-17,1126.13,1064.84,1129.69,1064.84,1764283.0,99.9,107.1,53.9,-5.1113883443236645,0.0,1030.0207514760543,0.0,0.0,0.0,0.0,0.0,0.0,0.9928256657182505,0.0,-0.20701891432953057,-1.0017705282344256,0,False,1764283.0
2010-06-18,1052.07,1000.28,1053.14,993.17,1630650.0,99.9,107.1,53.9,-6.062882686600801,0.0,1027.1882989545254,0.0,0.0,0.0,0.0,0.0,0.0,0.9841302463517959,0.0,-0.07574351733820484,-1.003779859785495,0,False,1630650.0
2010-06-21,991.96,1040.8,1043.16,976.41,1574797.0,99.9,107.1,53.9,4.050865757587863,0.0,1028.4846514350468,0.0,0.0,0.0,0.0,0.0,0.0,0.9839379825232184,0.0,-0.03425198540459329,-1.0046196762613797,0,False,1574797.0
2010-06-22,1037.04,1034.99,1057.36,1033.65,1427162.0,99.9,107.1,53.9,-0.5582244427363547,0.0,1029.104208441233,0.0,0.0,0.0,0.0,0.0,0.0,0.9828755971993124,0.0,-0.09374859108824818,-1.006839544583891,0,False,1427162.0
2010-06-23,1026.86,1047.34,1056.35,1023.74,1257359.0,99.9,107.1,53.9,1.1932482439443781,0.0,1030.8409504944489,0.0,0.0,0.0,0.0,0.0,0.0,0.9895451483000879,0.0,-0.11897948516005896,-1.0093927352281646,0,False,1257359.0
2010-06-24,1046.76,1050.6,1059.75,1041.54,1069132.0,99.9,107.1,53.9,0.31126472778657543,0.0,1032.7227647330728,0.0,0.0,0.0,0.0,0.0,0.0,0.9908321031893454,0.0,-0.1497002844851788,-1.0122229526883963,0,False,1069132.0
2010-06-25,1046.21,1016.28,1046.21,999.16,1237298.0,99.9,107.1,53.9,-3.266704740148485,0.0,1031.1567871394468,0.0,0.0,0.0,0.0,0.0,0.0,0.9814156443789936,0.0,0.15729208367161407,-1.0096943762917194,0,False,1237298.0
2010-06-28,1009.22,987.83,1014.41,984.22,920673.0,99.9,107.1,53.9,-2.7994253552170556,0.0,1027.0304264594995,0.0,0.0,0.0,0.0,0.0,0.0,0.9804547368205863,0.0,-0.2559003570683861,-1.0144552108337663,0,False,920673.0
2010-06-29,985.57,913.31,992.23,912.54,1497799.0,99.9,107.1,53.9,-7.543808145126196,0.0,1016.1999096538328,0.0,0.0,0.0,0.0,0.0,0.0,0.9780033102311155,0.0,0.6268523134706894,-1.005777433033803,0,False,1497799.0
2010-06-30,898.29,919.31,921.81,881.36,1223661.0,99.9,107.1,53.9,0.6569510899913533,0.0,1006.9722992106106,0.0,0.0,0.0,0.0,0.0,0.0,0.9752473563651851,0.0,-0.18302722862012866,-1.0098994248527928,0,False,1223661.0
2010-07-01,914.4,882.19,921.21,882.19,1049572.0,99.4,106.4,52.1,-4.03781096692083,1020.4155000000001,995.088270714362,63.865174801048106,0.0,0.0,0.0,0.0,0.0,0.981539872306556,0.0,-0.14226897809115435,-1.0125170606193634,0,False,1049572.0
2010-07-02,878.95,873.12,885.34,832.62,1288833.0,99.4,106.4,52.1,-1.028123193416386,1015.4100000000001,983.4722449320418,71.25375070460288,0.0,0.0,0.0,0.0,0.0,0.9814339749826246,0.0,0.22796054010587175,-1.0089194860963009,0,False,1288833.0
2010-07-05,857.37,862.27,870.86,842.73,915864.0,99.4,106.4,52.1,-1.2426699651823414,1008.6675000000001,971.9291739861332,79.03129033057604,0.0,0.0,0.0,0.0,0.0,0.9802074418774519,0.0,-0.28938504833442347,-1.0145275198848922,0,False,915864.0
2010-07-06,859.26,893.72,898.45,857.8,1165231.0,99.4,106.4,52.1,3.647349438111047,1003.4339999999999,964.480681225549,83.10819279393398,0.0,0.0,973.23,0.0,0.0,0.9860629175136439,0.0,0.27227514128735275,-1.0107779895974967,0,False,1165231.0
2010-07-07,896.53,908.55,908.55,890.34,1046162.0,99.4,106.4,52.1,1.6593563979769854,997.4775000000002,959.1539496802586,85.51330138916227,0.0,0.0,997.12,0.0,0.0,0.9799910486230842,0.0,-0.1021848886615615,-1.0125683340367764,0,False,1046162.0
