trade_date,Open,Close,High,Low,Volume,CPI,PPI,PMI,Close_Trend,Close_Seasonal,Close_Residual,Close_Volatility,CPI_Trend,CPI_Seasonal,CPI_Residual,PPI_Trend,PPI_Seasonal,PPI_Residual,PMI_Trend,PMI_Seasonal,PMI_Residual,CPI_Volatility,PPI_Volatility,PMI_Volatility,Log_Return,Daily_PCT_Change,Volume_Change,Volume_Zscore,Volume_Anomaly_Zscore,Volume_outlier,Volume_corrected,Mean,EMA,Volatility,Mean_non_overlap,Volatility_non_overlap,Long_Mean,Long_Volatility,CPI_YoY,CPI_MoM,CPI_Cycle,CPI_12M_Mean,CPI_12M_Vol,PPI_YoY,PPI_MoM,PPI_Cycle,PPI_12M_Mean,PPI_12M_Vol,PMI_YoY,PMI_MoM,PMI_Cycle,PMI_12M_Mean,PMI_12M_Vol,lag_CPI,lag_PPI,lag_PMI,Lag_5,Lag_10,Lag_22,Return,Volatility_Spread,Vol_PMI_Corr,Trend_Inflation_Spread,High_Inflation,Economic_Expansion,Real_Price,Price_Volume_Divergence,PMI_Price_Corr,Stagflation_Risk
2010-06-01,986.020,973.23,994.790,948.120,1356285.0,99.90,107.10,53.9,0.0,1.0000766450447793,0.0,0.0,99.98280498244212,0.9981643800300588,0.0,107.20771232387332,0.9998578046057593,0.0,54.19122335482985,0.9963435081345446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0079052648202482,0,False,1356285.0,0.0,973.23,0.0,1020.4155000000001,63.865174801048106,0.0,0.0,0.0,0,-0.08280498244211287,99.9,0.0,0,0,-0.1077123238733293,107.1,0.0,0.0,0.0,-0.29122335482985306,53.9,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
2010-06-02,967.610,997.12,997.120,952.610,1074627.0,99.90,107.10,53.9,0.0,0.9962372961079612,0.0,0.0,99.96287969684084,0.9981664975840743,0.0,107.18645492878252,0.9998785692354248,0.0,54.1278001147619,0.9963596208106279,0.0,0.0,0.0,0.0,0.024250687227455058,2.454712657850666,-0.20766874218914166,-1.012140328809017,0,False,1074627.0,0.0,975.5052380952382,0.0,1020.4155000000001,63.865174801048106,0.0,0.0,0.0,0,-0.06287969684083805,99.9,0.0,0,0,-0.0864549287825298,107.1,0.0,0.0,0.0,-0.227800114761898,53.9,0.0,0,0,0.0,0.0,0.0,0.0,2.454712657850666,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
2010-06-03,1002.350,998.39,1026.700,997.780,1616805.0,99.90,107.10,53.9,0.0,0.9973830925479957,0.0,0.0,99.94294866089356,0.9979467986931586,0.0,107.1651900536692,0.9993301076725771,0.0,54.064356650849845,0.9963757534907568,0.0,0.0,0.0,0.0,0.0012728577370874803,0.12736681643132908,0.504526686934164,-1.003988035874669,0,False,1616805.0,0.0,977.684739229025,0.0,1020.4155000000001,63.865174801048106,0.0,0.0,0.0,0,-0.042948660893557644,99.9,0.0,0,0,-0.06519005366921249,107.1,0.0,0.0,0.0,-0.16435665084984663,53.9,0.0,0,0,0.0,0.0,0.0,0.0,0.12736681643132908,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
2010-06-04,989.680,1027.68,1027.680,986.500,1500295.0,99.90,107.10,53.9,0.0,0.9959558279830564,0.0,0.0,99.92300175760865,0.9975050018129922,0.0,107.14390421469642,0.9996830566969341,0.0,54.00085691979721,0.9963919061774283,0.0,0.0,0.0,0.0,0.02891513197012101,2.9337232945041647,-0.0720618751179023,-1.0057399026965999,0,False,1500295.0,0.0,982.4461926357845,0.0,1020.4155000000001,63.865174801048106,0.0,0.0,0.0,0,-0.02300175760863965,99.9,0.0,0,0,-0.04390421469642547,107.1,0.0,0.0,0.0,-0.10085691979720934,53.9,0.0,0,0,0.0,0.0,0.0,0.0,2.9337232945041647,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
2010-06-07,1005.030,1069.47,1075.220,1001.700,2655275.0,99.90,107.10,53.9,0.0,1.002674211026242,0.0,0.0,99.90302588744858,0.9975074054873265,0.0,107.12257940094008,0.9997088633966454,0.0,53.93725346465117,0.9964080788731443,0.0,0.0,0.0,0.0,0.03985936412867202,4.066440915460068,0.769835265731073,-0.9883734007483221,0,False,2655275.0,0.0,990.7341742895194,0.0,1020.4155000000001,63.865174801048106,0.0,0.0,0.0,0,-0.003025887448572462,99.9,0.0,0,0,-0.02257940094008859,107.1,0.0,0.0,0.0,-0.03725346465117241,53.9,0.0,0,0,0.0,0.0,0.0,0.0,4.066440915460068,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
2010-06-08,1067.320,1067.15,1075.500,1050.960,1976720.0,99.90,107.10,53.9,0.0,0.9995342199893524,0.0,0.0,99.88300635353156,0.9975098099849958,0.0,107.10119455257231,0.9997347581042971,0.0,53.87349182450614,0.9964242715804107,0.0,0.0,0.0,0.0,-0.0021716551485771968,-0.21692988115608047,-0.2555498018096054,-0.9985762845467546,0,False,1976720.0,0.0,998.0118719762319,0.0,1020.4155000000001,63.865174801048106,0.0,0.0,0.0,0,0.016993646468449697,99.9,0.0,0,0,-0.001194552572314933,107.1,0.0,0.0,0.0,0.0265081754938592,53.9,0.0,0,0,0.0,973.23,0.0,0.0,-0.21692988115608047,0.0,0.0,0.0,0,0,0.0,-0.36094839335411155,0.0,0
2010-06-09,1070.850,1077.82,1102.100,1069.430,2541568.0,99.90,107.10,53.9,0.0,0.9956202585051317,0.0,0.0,99.86292824884471,0.9975122155336803,0.0,107.07972704175133,0.9972855684044606,0.0,53.8095149514104,0.996440484301738,0.0,0.0,0.0,0.0,0.00994893915607918,0.9998594386918302,0.28575013153102113,-0.9900831211218636,0,False,2541568.0,0.0,1005.6126460737336,0.0,1020.4155000000001,63.865174801048106,0.0,0.0,0.0,0,0.037071751155295374,99.9,0.0,0,0,0.02027295824866826,107.1,0.0,0.0,0.0,0.09048504858959916,53.9,0.0,0,0,0.0,997.12,0.0,0.0,0.9998594386918302,0.0,0.0,0.0,0,0,0.0,-1.2841368392970824,0.0,0
2010-06-10,1077.680,1117.48,1119.110,1076.280,2197404.0,99.90,107.10,53.9,0.0,0.9976569959721343,0.0,0.0,99.84277784648957,0.9975146122864723,0.0,107.05815415768035,0.9973109128861335,0.0,53.745267638257765,0.996456717039641,0.0,0.0,0.0,0.0,0.03613566759019018,3.6796496632090836,-0.13541404361402098,-0.9952580373771468,0,False,2197404.0,0.0,1016.266679780997,0.0,1020.4155000000001,63.865174801048106,0.0,0.0,0.0,0,0.05722215351043758,99.9,0.0,0,0,0.0418458423196455,107.1,0.0,0.0,0.0,0.1547323617422336,53.9,0.0,0,0,0.0,998.39,0.0,0.0,3.6796496632090836,0.0,0.0,0.0,0,0,0.0,-0.23982063062859926,0.0,0
2010-06-11,1122.440,1122.2,1128.230,1118.710,2224874.0,99.90,107.10,53.9,0.0,0.9964001475029046,0.0,0.0,99.82254399399486,0.9975170099098994,0.0,107.03645459740692,0.9973363478378332,0.0,53.680700961626,0.9964729697966401,0.0,0.0,0.0,0.0,0.004214894081025114,0.4223789240075826,0.012501114952006898,-0.994844993161213,0,False,2224874.0,0.0,1026.3555674209022,0.0,1020.4155000000001,63.865174801048106,0.0,0.0,0.0,0,0.0774560060051499,99.9,0.0,0,0,0.06354540259307839,107.1,0.0,0.0,0.0,0.21929903837399678,53.9,0.0,0,0,0.0,1027.68,0.0,0.0,0.4223789240075826,0.0,0.0,0.0,0,0,0.0,-0.39098352960951255,0.0,0
2010-06-17,1126.130,1064.84,1129.690,1064.840,1764283.0,99.90,107.10,53.9,0.0,0.9928256657182505,0.0,0.0,99.8022195126499,0.9975194084039639,0.0,107.01460996393983,0.9973618732409387,0.0,53.61577674339574,0.9964892425752587,0.0,0.0,0.0,0.0,-0.05246649120149956,-5.1113883443236645,-0.20701891432953057,-1.0017705282344256,0,False,1764283.0,0.0,1030.0207514760543,0.0,1020.4155000000001,63.865174801048106,0.0,0.0,0.0,0,0.09778048735010714,99.9,0.0,0,0,0.08539003606016138,107.1,0.0,0.0,0.0,0.28422325660425685,53.9,0.0,0,0,0.0,1069.47,0.0,0.0,-5.1113883443236645,0.0,0.0,0.0,0,0,0.0,-0.33988469813920275,0.0,0
