Date,Actual,Predicted
2022-04-27,3895.54,3994.028
2022-04-28,3921.11,3978.5422
2022-04-29,4016.24,3971.3232
2022-05-05,4010.21,3989.2332
2022-05-06,3908.82,4002.5376
2022-05-09,3877.44,3991.366
2022-05-10,3919.87,3971.6433
2022-05-11,3976.42,3963.633
2022-05-12,3958.74,3973.7705
2022-05-13,3988.6000000000004,3973.7637
2022-05-16,3956.54,3982.474
2022-05-17,4005.89,3983.065
2022-05-18,3991.91,3994.9133
2022-05-19,3999.6,4001.5198
2022-05-20,4077.6,4008.3457
2022-05-23,4053.98,4033.974
2022-05-24,3959.1500000000005,4050.711
2022-05-25,3983.1800000000003,4047.1157
2022-05-26,3993.0399999999995,4047.265
2022-05-27,4001.3,4045.8772
2022-05-30,4029.0200000000004,4048.359
2022-05-31,4091.52,4057.6484
2022-06-01,4083.18,4077.7585
2022-06-02,4089.5699999999997,4092.1033
2022-06-06,4166.09,4102.4946
2022-06-07,4179.13,4127.419
2022-06-08,4219.81,4151.5967
2022-06-09,4175.67,4181.1714
2022-06-10,4238.99,4198.2236
2022-06-13,4189.35,4223.5137
2022-06-14,4222.31,4231.5303
2022-06-15,4278.22,4239.951
2022-06-16,4250.06,4255.178
2022-06-17,4309.04,4260.4404
2022-06-20,4330.43,4271.864
2022-06-21,4325.57,4284.9937
2022-06-22,4270.62,4293.0396
2022-06-23,4343.88,4288.2305
2022-06-24,4394.77,4301.5903
2022-06-27,4444.26,4323.767
2022-06-28,4490.52,4355.444
2022-06-29,4421.36,4392.1523
2022-06-30,4485.01,4412.171
2022-07-01,4466.72,4437.895
2022-07-04,4496.03,4453.3096
2022-07-05,4489.54,4469.7607
2022-07-06,4423.97,4480.53
2022-07-07,4443.47,4474.7627
2022-07-08,4428.78,4469.3657
2022-07-11,4354.62,4459.85
2022-07-12,4313.62,4433.8164
2022-07-13,4321.46,4403.973
2022-07-14,4322.07,4377.0557
2022-07-15,4248.53,4357.6533
2022-07-18,4292.59,4329.557
2022-07-19,4269.34,4313.08
2022-07-20,4283.8,4292.057
2022-07-21,4236.06,4277.513
2022-07-22,4238.23,4259.765
2022-07-25,4212.64,4246.827
2022-07-26,4245.98,4230.2573
2022-07-27,4225.04,4223.432
2022-07-28,4225.67,4212.374
2022-07-29,4170.1,4211.401
2022-08-01,4188.68,4201.3994
2022-08-02,4107.02,4197.178
2022-08-03,4066.9800000000005,4177.5317
2022-08-04,4101.54,4152.3857
2022-08-05,4156.91,4136.3267
2022-08-08,4148.07,4132.9004
2022-08-09,4156.29,4127.11
2022-08-10,4109.74,4125.154
2022-08-11,4193.54,4115.0986
2022-08-12,4191.15,4126.1597
2022-08-15,4185.68,4134.9224
2022-08-16,4177.84,4144.488
2022-08-17,4216.96,4150.603
2022-08-18,4180.1,4164.923
2022-08-19,4151.07,4168.808
2022-08-22,4181.4,4168.669
2022-08-23,4161.08,4174.109
2022-08-24,4082.42,4174.362
2022-08-25,4116.24,4159.107
2022-08-26,4107.55,4152.8394
2022-08-29,4089.52,4142.0645
2022-08-30,4075.79,4129.128
2022-08-31,4078.84,4114.521
2022-09-01,4043.74,4110.1157
2022-09-02,4023.61,4101.113
2022-09-05,4015.43,4089.3591
2022-09-06,4052.2799999999997,4075.9763
2022-09-07,4054.98,4073.0005
2022-09-08,4037.68,4069.866
2022-09-09,4093.79,4065.3293
2022-09-13,4111.11,4072.7473
2022-09-14,4065.36,4082.2136
2022-09-15,4027.12,4078.6562
2022-09-16,3932.68,4070.3826
2022-09-19,3928.0,4045.6487
2022-09-20,3932.84,4022.9368
2022-09-21,3903.73,4004.6292
2022-09-22,3869.3400000000006,3982.2173
2022-09-23,3856.02,3955.7273
2022-09-26,3836.6799999999994,3933.2139
2022-09-27,3892.3,3913.3052
2022-09-28,3828.71,3909.5413
2022-09-29,3827.14,3895.028
2022-09-30,3804.89,3885.4185
2022-10-10,3720.94,3871.847
2022-10-11,3727.69,3846.3535
2022-10-12,3784.31,3827.7322
2022-10-13,3752.67,3826.4314
2022-10-14,3842.47,3819.7563
2022-10-17,3846.41,3836.02
2022-10-18,3838.27,3850.28
2022-10-19,3776.5299999999997,3858.9265
2022-10-20,3754.93,3851.156
2022-10-21,3742.89,3840.2031
2022-10-24,3633.37,3828.2498
2022-10-25,3627.45,3799.1921
2022-10-26,3656.9,3774.7217
2022-10-27,3631.14,3762.2417
2022-10-28,3541.33,3747.3306
2022-10-31,3508.7,3716.1726
2022-11-01,3634.17,3687.705
2022-11-02,3677.81,3693.7566
2022-11-03,3647.9,3706.2244
2022-11-04,3767.17,3708.8533
2022-11-07,3775.3,3740.0596
2022-11-08,3749.3300000000004,3763.5757
2022-11-09,3714.27,3775.7976
2022-11-10,3685.6900000000005,3776.1472
2022-11-11,3788.44,3766.564
2022-11-14,3794.02,3788.311
2022-11-15,3865.97,3807.0835
2022-11-16,3834.3900000000003,3835.2654
2022-11-17,3818.6600000000003,3847.3418
2022-11-18,3801.57,3849.732
2022-11-21,3769.13,3847.2021
2022-11-22,3769.57,3832.8691
2022-11-23,3773.5299999999997,3825.1777
2022-11-24,3756.81,3821.4197
2022-11-25,3775.78,3812.7837
2022-11-28,3733.24,3810.5547
2022-11-29,3848.42,3799.1724
2022-11-30,3853.04,3821.8743
2022-12-01,3894.77,3846.1338
2022-12-02,3870.95,3878.404
2022-12-05,3946.88,3898.7202
2022-12-06,3968.2,3933.6602
2022-12-07,3958.4399999999996,3963.1177
2022-12-08,3959.18,3981.2087
2022-12-09,3998.2399999999993,3990.75
2022-12-12,3953.44,4006.5288
2022-12-13,3945.68,4005.1375
2022-12-14,3954.89,3998.8152
2022-12-15,3951.9899999999993,3991.2222
2022-12-16,3954.2299999999996,3982.2444
2022-12-19,3893.22,3976.0393
2022-12-20,3829.02,3961.542
2022-12-21,3830.5399999999995,3937.2231
2022-12-22,3836.03,3918.8848
2022-12-23,3828.22,3907.9758
2022-12-26,3843.4900000000002,3898.8906
2022-12-27,3887.85,3896.46
2022-12-28,3871.26,3908.641
2022-12-29,3856.7,3915.5283
2022-12-30,3871.6299999999997,3918.5874
2023-01-03,3887.8999999999996,3923.9329
2023-01-04,3892.95,3934.1167
2023-01-05,3968.58,3943.7825
2023-01-06,3980.8900000000003,3968.604
2023-01-09,4013.1199999999994,3992.3843
2023-01-10,4017.47,4019.6614
2023-01-11,4010.03,4040.4749
2023-01-12,4017.8699999999994,4055.305
2023-01-13,4074.38,4067.5352
2023-01-16,4137.96,4087.7175
2023-01-17,4137.24,4120.1646
2023-01-18,4130.31,4142.8174
2023-01-19,4156.01,4157.361
2023-01-20,4181.53,4173.766
2023-01-30,4201.35,4195.237
2023-01-31,4156.86,4223.6294
2023-02-01,4195.93,4230.036
2023-02-02,4181.15,4241.583
2023-02-03,4141.63,4244.2017
2023-02-06,4086.8799999999997,4232.995
2023-02-07,4094.2299999999996,4207.9634
2023-02-08,4076.14,4184.7676
2023-02-09,4130.86,4158.792
2023-02-10,4106.31,4148.4287
2023-02-13,4143.57,4132.7886
2023-02-14,4145.29,4129.404
2023-02-15,4123.69,4125.7383
2023-02-16,4093.49,4119.6646
2023-02-17,4034.51,4113.1465
2023-02-20,4133.49,4094.662
2023-02-21,4144.35,4101.3896
2023-02-22,4106.95,4107.898
2023-02-23,4103.65,4102.8784
2023-02-24,4061.05,4096.692
2023-02-27,4043.84,4080.8389
2023-02-28,4069.46,4062.628
2023-03-01,4126.94,4055.075
2023-03-02,4117.74,4055.9565
2023-03-03,4130.55,4055.4631
