Epochs,Training Loss,Validation Loss
1,0.1012754887342453,0.06715338677167892
2,0.07209403067827225,0.059901896864175797
3,0.06257442384958267,0.052991703152656555
4,0.05474616959691048,0.046313636004924774
5,0.04852510988712311,0.04108569771051407
6,0.04309379681944847,0.03688179329037666
7,0.038394443690776825,0.03250214830040932
8,0.03451932594180107,0.029031241312623024
9,0.030962150543928146,0.025888772681355476
10,0.027723951265215874,0.023249033838510513
11,0.025279054418206215,0.02100159414112568
12,0.023199982941150665,0.019072815775871277
13,0.021109074354171753,0.01735774241387844
14,0.019653625786304474,0.01605158858001232
15,0.01790291629731655,0.014599532820284367
16,0.01659671775996685,0.0139530710875988
17,0.015516139566898346,0.012553698383271694
18,0.014530870132148266,0.011673299595713615
19,0.0138098718598485,0.011031419038772583
20,0.013152256608009338,0.010230941697955132
21,0.01229086983948946,0.009694596752524376
22,0.011743174865841866,0.0091041699051857
23,0.011081598699092865,0.00877718161791563
24,0.010773375630378723,0.00843028537929058
25,0.010187709704041481,0.008061771281063557
26,0.009755217470228672,0.007497792132198811
27,0.009385119192302227,0.007573478855192661
28,0.008994974195957184,0.006836484186351299
29,0.00866375956684351,0.0065734293311834335
30,0.008311455138027668,0.006240466143935919
31,0.008097936399281025,0.006568677257746458
32,0.007880600169301033,0.005765213631093502
33,0.007511052768677473,0.005566279869526625
34,0.007362759672105312,0.005469991825520992
35,0.007080484181642532,0.005201241001486778
36,0.006829789839684963,0.005219774320721626
37,0.006690785754472017,0.004969944711774588
38,0.0064506870694458485,0.0047082738019526005
39,0.006238707806915045,0.00451569864526391
40,0.006061524618417025,0.004415685310959816
41,0.005919362884014845,0.004512403625994921
42,0.005859702359884977,0.0042364890687167645
43,0.005538148805499077,0.003985586576163769
44,0.0054499004036188126,0.003846428357064724
45,0.005350454244762659,0.0037306377198547125
46,0.005161639302968979,0.0038429556880146265
47,0.005064426455646753,0.003525263862684369
48,0.004917868413031101,0.0035591612104326487
49,0.004766454454511404,0.003430927637964487
50,0.004764643497765064,0.0032326853834092617
51,0.004593666642904282,0.003128724405542016
52,0.004482520744204521,0.003317770780995488
53,0.004340324550867081,0.002985818777233362
54,0.00430495198816061,0.0028977396432310343
55,0.004267105367034674,0.0029578825924545527
56,0.004027815070003271,0.0027569287922233343
57,0.003937634639441967,0.0026680147275328636
58,0.003911665175110102,0.0026312305126339197
59,0.0039331428706645966,0.002532237907871604
60,0.003759504994377494,0.002527947537600994
61,0.0036808401346206665,0.002448473824188113
62,0.0036343447864055634,0.0024120458401739597
63,0.0036098735872656107,0.0023338431492447853
64,0.0034967176616191864,0.0024191606789827347
65,0.003447104012593627,0.00223739305511117
66,0.0033513556700199842,0.0023221790324896574
67,0.003345550736412406,0.0021203216165304184
68,0.003330501262098551,0.0020979829132556915
69,0.003184631699696183,0.002067472320050001
70,0.0031223457772284746,0.002002398017793894
71,0.003156258026137948,0.001969757257029414
72,0.0030139267910271883,0.0019108313135802746
73,0.003077408764511347,0.002000905107706785
74,0.0029528492596000433,0.001829291693866253
75,0.002942665945738554,0.0018820075783878565
76,0.0028778058476746082,0.0018241514917463064
77,0.002841101959347725,0.0017273473786190152
78,0.0028280264232307673,0.0016829578671604395
79,0.0027853697538375854,0.0017452446045354009
80,0.0026833852753043175,0.0017058121738955379
81,0.0025723937433212996,0.0016312430379912257
82,0.0026797354221343994,0.0016377115389332175
83,0.002577082719653845,0.0015981780597940087
84,0.0025015322025865316,0.0015258259372785687
85,0.0025123590603470802,0.0015026171458885074
86,0.0024482975713908672,0.0016550760483369231
87,0.0024754335172474384,0.0015092500252649188
88,0.002384328516200185,0.0014420285588130355
89,0.0023158693220466375,0.001441348111256957
90,0.002391990041360259,0.0014053344493731856
91,0.0023210765793919563,0.0016480040503665805
92,0.0022423225454986095,0.0013012734707444906
93,0.002255536150187254,0.0012831459753215313
94,0.0022406873758882284,0.0012661120854318142
95,0.002172672189772129,0.001279669115319848
96,0.0022440324537456036,0.0012320202076807618
97,0.0021456999238580465,0.0012166335945948958
98,0.002205038443207741,0.0013173666084185243
99,0.0020888710860162973,0.0011680105235427618
100,0.002184758661314845,0.001167519367299974
101,0.00210360623896122,0.0012703391257673502
102,0.00208479561842978,0.001220780424773693
103,0.00207732617855072,0.0011761250207200646
104,0.0020798591431230307,0.0011979187838733196
105,0.0020110297482460737,0.001160613726824522
106,0.0019669586326926947,0.001057912828400731
107,0.0019314605742692947,0.0011337086325511336
108,0.0019337899284437299,0.0010381171014159918
109,0.002003592438995838,0.0010128491558134556
110,0.001961651723831892,0.0010943833040073514
111,0.0019333907403051853,0.0010005241492763162
112,0.00191120570525527,0.0009748522425070405
113,0.001910582883283496,0.000975519884377718
114,0.0019251432968303561,0.000948206230532378
115,0.0019336824771016836,0.0010720307473093271
116,0.0018772927578538656,0.0012383286375552416
117,0.0018714391626417637,0.0009428741177543998
118,0.0018036146648228168,0.0009350022883154452
119,0.0018250111024826765,0.0009036627598106861
120,0.0017347662942484021,0.0008976444369181991
