Date,Actual,Predicted
2023-02-28,2429.03,2466.5505
2023-03-01,2443.95,2447.741
2023-03-02,2418.6,2416.8674
2023-03-03,2422.44,2389.7122
2023-03-06,2431.56,2367.2703
2023-03-07,2383.73,2349.3877
2023-03-08,2377.58,2331.7502
2023-03-09,2372.68,2317.092
2023-03-10,2370.36,2302.1772
2023-03-13,2357.07,2291.4724
2023-03-14,2343.11,2283.8472
2023-03-15,2337.46,2279.1943
2023-03-16,2302.05,2277.7346
2023-03-17,2293.67,2275.1357
2023-03-20,2291.92,2275.5571
2023-03-21,2337.26,2278.7605
2023-03-22,2341.92,2287.6704
2023-03-23,2361.41,2299.333
2023-03-24,2370.38,2313.146
2023-03-27,2398.02,2328.6846
2023-03-28,2369.17,2346.98
2023-03-29,2371.19,2360.2312
2023-03-30,2383.04,2371.1392
2023-03-31,2399.5,2379.7776
2023-04-03,2440.21,2389.3284
2023-04-04,2421.65,2401.3381
2023-04-06,2426.57,2409.593
2023-04-07,2446.95,2414.9917
2023-04-10,2443.52,2419.414
2023-04-11,2439.4,2421.71
2023-04-12,2429.29,2426.7517
2023-04-13,2405.76,2431.364
2023-04-14,2428.09,2433.5298
2023-04-17,2434.44,2436.4524
2023-04-18,2431.1,2437.5051
2023-04-19,2415.76,2436.0876
2023-04-20,2386.67,2432.178
2023-04-21,2341.19,2425.2375
2023-04-24,2301.24,2414.9634
2023-04-25,2259.19,2400.0369
2023-04-26,2294.06,2381.414
2023-04-27,2307.27,2367.1357
2023-04-28,2324.72,2354.3909
2023-05-04,2297.67,2344.8306
2023-05-05,2267.63,2333.735
2023-05-08,2273.4,2320.0603
2023-05-09,2245.82,2307.919
2023-05-10,2262.22,2294.5566
2023-05-11,2276.57,2283.1545
2023-05-12,2252.38,2279.8716
2023-05-15,2299.93,2276.8315
2023-05-16,2294.19,2279.7534
2023-05-17,2293.64,2282.2632
2023-05-18,2277.97,2284.3733
2023-05-19,2278.59,2285.8728
2023-05-22,2280.15,2287.1152
2023-05-23,2253.33,2287.2634
2023-05-24,2245.26,2283.8574
2023-05-25,2244.18,2278.8276
2023-05-26,2229.27,2273.8984
