Date,Actual,Predicted
2023-10-17,1448.18,1452.1835
2023-10-18,1441.44,1449.792
2023-10-19,1407.56,1449.2689
2023-10-20,1397.81,1448.1896
2023-10-23,1387.36,1446.3588
2023-10-24,1388.06,1444.0631
2023-10-25,1395.98,1439.8333
2023-10-26,1400.39,1438.7769
2023-10-27,1422.43,1438.033
2023-10-30,1432.97,1439.5756
2023-10-31,1425.64,1437.3083
2023-11-01,1425.78,1439.9514
2023-11-02,1421.41,1442.354
2023-11-03,1433.56,1442.1162
2023-11-06,1453.6,1443.7406
2023-11-07,1443.23,1447.4276
2023-11-08,1440.71,1449.6566
2023-11-09,1437.26,1448.997
2023-11-10,1424.15,1446.8586
2023-11-13,1419.91,1444.5339
2023-11-14,1417.58,1441.6295
2023-11-15,1429.26,1436.0526
2023-11-16,1415.54,1433.0269
2023-11-17,1412.58,1432.0629
2023-11-20,1417.47,1427.9357
2023-11-21,1422.76,1424.8511
2023-11-22,1406.78,1421.9858
2023-11-23,1412.71,1417.5593
2023-11-24,1402.5,1413.7816
2023-11-27,1388.04,1407.5635
2023-11-28,1391.01,1403.2158
2023-11-29,1378.44,1400.8453
2023-11-30,1380.87,1397.9675
2023-12-01,1372.15,1396.5426
2023-12-04,1361.32,1393.41
2023-12-05,1334.31,1388.9923
2023-12-06,1338.37,1386.8925
2023-12-07,1334.56,1384.8113
2023-12-08,1336.69,1381.9371
2023-12-11,1346.3,1379.7941
2023-12-12,1347.61,1377.6304
2023-12-13,1322.55,1374.7572
2023-12-14,1316.52,1368.0481
2023-12-15,1313.26,1364.0919
2023-12-18,1307.41,1359.8761
2023-12-19,1309.27,1354.7053
2023-12-20,1299.32,1349.527
2023-12-21,1316.35,1346.331
2023-12-22,1320.39,1342.3762
2023-12-25,1322.33,1341.9446
2023-12-26,1313.94,1341.6821
2023-12-27,1317.89,1339.1044
2023-12-28,1353.11,1339.5583
2023-12-29,1356.86,1342.2921
2024-01-02,1336.6,1347.0071
2024-01-03,1334.95,1350.0227
2024-01-04,1321.65,1353.9225
2024-01-05,1314.83,1352.4305
2024-01-08,1299.92,1351.5433
2024-01-09,1301.42,1348.8375
2024-01-10,1294.51,1345.3807
2024-01-11,1304.25,1342.4907
2024-01-12,1298.6,1343.8009
2024-01-15,1297.18,1342.364
2024-01-16,1306.57,1340.1097
2024-01-17,1277.1,1339.4371
2024-01-18,1298.59,1336.0437
2024-01-19,1299.54,1337.4392
2024-01-22,1286.39,1335.3162
2024-01-23,1288.49,1334.2584
2024-01-24,1305.26,1333.5018
2024-01-25,1328.32,1335.3373
2024-01-26,1323.04,1338.2583
2024-01-29,1309.54,1337.171
2024-01-30,1285.61,1339.3801
2024-01-31,1280.71,1341.1725
2024-02-01,1280.05,1339.6749
2024-02-02,1263.39,1338.9238
2024-02-05,1282.07,1336.7148
2024-02-06,1325.23,1337.4697
2024-02-07,1341.87,1339.5935
2024-02-08,1350.02,1343.9364
2024-02-19,1357.44,1345.8679
2024-02-20,1357.0,1349.2764
2024-02-21,1378.12,1349.9612
2024-02-22,1384.58,1350.502
2024-02-23,1383.38,1354.8109
2024-02-26,1368.67,1351.637
2024-02-27,1382.94,1349.9419
2024-02-28,1368.57,1350.2999
2024-02-29,1392.27,1348.6478
2024-03-01,1399.43,1346.66
2024-03-04,1398.93,1344.7404
2024-03-05,1410.99,1346.652
2024-03-06,1405.01,1350.0894
2024-03-07,1398.66,1353.1157
2024-03-08,1396.2,1352.1017
2024-03-11,1422.87,1350.3007
2024-03-12,1432.04,1353.1969
2024-03-13,1419.74,1353.1418
2024-03-14,1416.43,1349.3737
2024-03-15,1415.64,1350.0367
2024-03-18,1426.08,1351.6519
2024-03-19,1412.22,1354.3077
2024-03-20,1416.02,1357.1565
2024-03-21,1413.32,1357.5276
2024-03-22,1398.82,1359.9242
2024-03-25,1394.43,1362.9844
2024-03-26,1403.12,1366.9501
2024-03-27,1389.99,1367.387
2024-03-28,1396.84,1370.3037
2024-03-29,1402.97,1369.4164
2024-04-01,1427.72,1370.6841
2024-04-02,1422.0,1376.5199
2024-04-03,1417.51,1380.6923
2024-04-08,1406.07,1386.4319
2024-04-09,1404.71,1391.3158
2024-04-10,1395.44,1394.901
2024-04-11,1393.05,1394.131
2024-04-12,1378.22,1395.6884
2024-04-15,1408.38,1399.2383
2024-04-16,1400.66,1405.4546
2024-04-17,1416.97,1411.5514
2024-04-18,1419.87,1417.8574
2024-04-19,1409.23,1427.3658
2024-04-22,1408.69,1433.0311
2024-04-23,1398.51,1438.2628
2024-04-24,1401.83,1442.9767
2024-04-25,1406.33,1444.916
2024-04-26,1429.32,1444.1364
2024-04-29,1445.86,1448.9042
2024-04-30,1435.25,1453.18
2024-05-06,1462.49,1454.5851
2024-05-07,1464.11,1456.6014
2024-05-08,1449.79,1460.5681
2024-05-09,1463.35,1461.1958
2024-05-10,1462.61,1461.94
2024-05-13,1458.71,1460.7877
2024-05-14,1453.42,1459.6542
2024-05-15,1439.72,1455.6116
2024-05-16,1447.0,1451.3842
2024-05-17,1466.35,1443.3392
2024-05-20,1469.08,1443.5492
2024-05-21,1461.11,1442.3212
2024-05-22,1462.52,1441.69
2024-05-23,1446.9,1443.4769
2024-05-24,1430.83,1442.852
2024-05-27,1442.03,1441.7415
2024-05-28,1431.36,1438.8407
2024-05-29,1435.28,1435.1768
2024-05-30,1426.78,1429.8523
2024-05-31,1418.21,1426.3263
2024-06-03,1425.1,1431.4213
2024-06-04,1437.04,1429.826
2024-06-05,1428.89,1434.0842
2024-06-06,1429.59,1439.5505
2024-06-07,1417.17,1442.2596
2024-06-11,1405.12,1446.1857
2024-06-12,1401.96,1449.5598
2024-06-13,1392.53,1453.1362
2024-06-14,1399.87,1457.4341
2024-06-17,1396.0,1459.796
2024-06-18,1396.32,1459.23
2024-06-19,1389.46,1459.7954
2024-06-20,1380.83,1459.3456
2024-06-21,1375.5,1456.7024
2024-06-24,1375.05,1456.7577
2024-06-25,1370.21,1455.7119
2024-06-26,1376.62,1450.5411
2024-06-27,1366.78,1448.0017
2024-06-28,1367.86,1443.2711
2024-07-01,1368.9,1440.8228
2024-07-02,1367.9,1435.8864
2024-07-03,1370.85,1431.6339
2024-07-04,1367.4,1427.1028
2024-07-05,1361.48,1424.8887
2024-07-08,1348.49,1421.8173
2024-07-09,1360.59,1419.3418
2024-07-10,1358.65,1418.2006
2024-07-11,1373.96,1415.4585
2024-07-12,1382.0,1415.1567
2024-07-15,1378.39,1412.6473
2024-07-16,1383.22,1411.3448
2024-07-17,1389.36,1409.6659
2024-07-18,1400.76,1409.3291
2024-07-19,1408.59,1409.6339
2024-07-22,1399.68,1409.7977
2024-07-23,1367.59,1408.7537
2024-07-24,1358.56,1406.0122
2024-07-25,1350.75,1402.249
2024-07-26,1353.64,1400.3534
2024-07-29,1339.11,1397.5005
2024-07-30,1331.38,1393.9763
2024-07-31,1362.03,1390.7375
2024-08-01,1348.38,1391.3131
2024-08-02,1335.64,1391.7976
2024-08-05,1324.53,1391.372
2024-08-06,1317.37,1391.394
2024-08-07,1316.4,1387.1543
