Date,Actual,Predicted
2024-07-17,729.0,787.93225
2024-07-18,735.41,791.6468
2024-07-19,749.47,795.14276
2024-07-22,752.0,800.3135
2024-07-23,721.11,805.67163
2024-07-24,713.32,808.48346
2024-07-25,713.88,810.4556
2024-07-26,719.87,812.50415
2024-07-29,707.6,815.4968
2024-07-30,710.01,817.24976
2024-07-31,743.37,820.21405
2024-08-01,738.87,828.8497
2024-08-02,725.66,838.90356
2024-08-05,704.3,848.8162
2024-08-06,713.86,858.34357
2024-08-07,707.59,868.466
2024-08-08,708.92,877.95197
2024-08-09,705.55,887.1771
2024-08-12,707.33,895.8434
2024-08-13,710.75,902.054
2024-08-14,700.93,904.63574
2024-08-15,707.55,903.51526
2024-08-16,705.22,901.03625
2024-08-19,703.32,896.7973
2024-08-20,693.52,891.74396
2024-08-21,691.64,885.5564
2024-08-22,685.53,878.95294
2024-08-23,685.76,872.57513
2024-08-26,682.4999999999999,866.56433
2024-08-27,674.35,860.78033
2024-08-28,671.22,854.91144
2024-08-29,679.59,849.9239
2024-08-30,694.16,847.9214
2024-09-02,670.01,849.5411
2024-09-03,674.96,848.64636
2024-09-04,672.28,849.28827
2024-09-05,671.26,849.98895
2024-09-06,662.34,850.9714
2024-09-09,654.94,852.3484
2024-09-10,660.01,853.6943
2024-09-11,664.33,855.57007
2024-09-12,658.8499999999999,857.8343
2024-09-13,655.05,857.83466
2024-09-18,647.4099999999999,856.9895
2024-09-19,651.47,854.01135
2024-09-20,648.36,850.7849
2024-09-23,643.04,846.3526
2024-09-24,667.05,841.23627
2024-09-25,667.34,839.9252
2024-09-26,693.15,839.2392
2024-09-27,740.02,841.6702
2024-09-30,872.37,848.4336
2024-10-08,1023.97,872.30255
2024-10-09,997.85,907.18134
2024-10-10,954.17,936.6986
2024-10-11,898.9,957.78125
2024-10-14,925.96,969.8768
2024-10-15,898.83,979.505
2024-10-16,875.69,984.1592
2024-10-17,879.1,984.66315
2024-10-18,978.66,983.812
2024-10-21,1000.37,993.94586
2024-10-22,985.83,1007.9802
2024-10-23,979.15,1020.62476
2024-10-24,977.6,1032.8683
2024-10-25,991.22,1043.1965
2024-10-28,986.56,1055.3639
2024-10-29,975.37,1067.0333
2024-10-30,958.8200000000002,1077.6106
2024-10-31,969.45,1086.7643
2024-11-01,939.76,1098.1917
2024-11-04,954.67,1106.949
2024-11-05,996.17,1114.8341
2024-11-06,998.09,1126.2465
2024-11-07,1028.44,1138.7449
2024-11-08,1025.64,1152.1832
2024-11-11,1073.84,1166.0721
2024-11-12,1050.54,1183.0785
2024-11-13,1061.37,1196.4276
2024-11-14,1027.32,1208.2021
2024-11-15,986.88,1216.5212
2024-11-18,968.71,1221.0531
2024-11-19,998.01,1224.3041
2024-11-20,1002.54,1229.5117
2024-11-21,1011.46,1234.1581
2024-11-22,969.35,1238.6757
2024-11-25,957.92,1238.7681
2024-11-26,951.59,1238.036
2024-11-27,985.97,1236.2971
2024-11-28,983.68,1236.7217
2024-11-29,1007.39,1236.2651
2024-12-02,1015.7900000000001,1237.8418
2024-12-03,1005.26,1240.0262
2024-12-04,999.36,1241.7966
2024-12-05,1001.84,1243.8055
2024-12-06,1014.45,1245.7844
2024-12-09,1003.38,1248.4021
2024-12-10,1010.91,1247.9016
2024-12-11,1007.19,1249.1145
2024-12-12,1010.9,1249.3531
2024-12-13,989.78,1249.7352
2024-12-16,975.27,1248.9298
2024-12-17,967.28,1246.6328
2024-12-18,981.51,1243.4331
2024-12-19,993.0,1241.4694
2024-12-20,1011.21,1240.347
2024-12-23,998.61,1241.3347
2024-12-24,1014.0199999999999,1241.8633
2024-12-25,1017.36,1242.989
2024-12-26,1027.02,1243.6594
2024-12-27,1018.58,1244.6815
2024-12-30,1020.63,1245.3103
2024-12-31,988.93,1244.8522
2025-01-02,955.33,1242.4192
2025-01-03,941.82,1238.3589
2025-01-06,938.71,1234.1018
2025-01-07,965.53,1229.5907
2025-01-08,965.12,1226.9384
2025-01-09,961.44,1223.9281
2025-01-10,950.59,1221.8329
2025-01-13,952.19,1219.1106
2025-01-14,981.78,1215.3942
2025-01-15,977.66,1214.4282
2025-01-16,956.4,1212.2657
2025-01-17,965.9,1207.8607
2025-01-20,968.27,1203.267
2025-01-21,976.3,1198.7703
2025-01-22,975.34,1195.0205
2025-01-23,966.11,1190.7408
2025-01-24,974.83,1187.0056
2025-01-27,955.09,1184.2758
2025-02-05,982.83,1181.0637
2025-02-06,1011.22,1181.2468
2025-02-07,1018.8,1183.8811
2025-02-10,1036.77,1187.3577
2025-02-11,1024.41,1191.3004
2025-02-12,1041.14,1193.655
2025-02-13,1017.09,1195.8988
2025-02-14,1022.46,1195.5693
2025-02-17,1037.31,1195.3376
2025-02-18,1011.17,1195.6426
2025-02-19,1034.57,1194.4816
2025-02-20,1033.09,1194.6573
2025-02-21,1094.77,1195.179
2025-02-24,1100.05,1198.4835
2025-02-25,1102.9,1199.9731
2025-02-26,1126.82,1200.3362
2025-02-27,1126.29,1201.4445
2025-02-28,1078.8,1202.5824
2025-03-03,1062.35,1200.9108
2025-03-04,1080.66,1198.7213
2025-03-05,1083.82,1198.0597
2025-03-06,1121.58,1197.6428
2025-03-07,1107.62,1200.3948
2025-03-10,1105.16,1202.387
2025-03-11,1100.7399999999998,1203.9034
2025-03-12,1092.71,1204.8412
2025-03-13,1069.7,1205.1873
2025-03-14,1088.11,1204.985
2025-03-17,1083.21,1205.107
2025-03-18,1089.83,1204.4875
2025-03-19,1076.94,1203.9009
2025-03-20,1064.79,1201.3008
2025-03-21,1042.89,1197.8473
2025-03-24,1045.94,1192.7024
2025-03-25,1031.7,1187.8284
2025-03-26,1029.05,1181.8833
2025-03-27,1040.57,1175.6747
2025-03-28,1029.48,1170.8662
2025-03-31,1022.71,1165.9971
2025-04-01,1024.38,1160.739
2025-04-02,1022.75,1156.1512
2025-04-03,1018.07,1151.7336
2025-04-07,924.17,1148.1271
2025-04-08,940.09,1142.4504
2025-04-09,980.57,1139.813
2025-04-10,991.22,1140.9386
2025-04-11,1011.71,1142.2675
2025-04-14,1014.28,1144.2985
2025-04-15,1006.34,1146.1497
2025-04-16,1014.51,1147.226
2025-04-17,1016.81,1149.8729
2025-04-18,1008.6,1153.7299
2025-04-21,1019.41,1155.1985
2025-04-22,1016.2200000000001,1157.1658
2025-04-23,1012.65,1158.4192
2025-04-24,1003.32,1159.5433
2025-04-25,1004.57,1159.7378
2025-04-28,1002.83,1159.3557
2025-04-29,1003.8699999999999,1157.9885
2025-04-30,1012.42,1156.7656
