Date,Actual,Predicted
2022-04-25,5431.61,6297.309
2022-04-26,5266.55,6101.391
2022-04-27,5540.72,5911.0845
2022-04-28,5493.91,5831.262
2022-04-29,5734.49,5754.967
2022-05-05,5836.93,5756.0356
2022-05-06,5764.69,5790.212
2022-05-09,5840.89,5807.505
2022-05-10,5950.67,5846.2534
2022-05-11,6003.03,5907.0728
2022-05-12,6034.57,5970.427
2022-05-13,6071.67,6025.184
2022-05-16,6082.88,6073.3413
2022-05-17,6118.46,6112.8438
2022-05-18,6127.8,6148.892
2022-05-19,6180.19,6176.3267
2022-05-20,6263.44,6204.666
2022-05-23,6343.47,6247.231
2022-05-24,6081.64,6298.5557
2022-05-25,6188.27,6287.5273
2022-05-26,6227.1,6302.7734
2022-05-27,6210.09,6322.2046
2022-05-30,6282.36,6319.479
2022-05-31,6353.35,6320.207
2022-06-01,6373.32,6326.016
2022-06-02,6442.93,6338.0723
2022-06-06,6604.98,6364.2104
2022-06-07,6597.83,6422.7256
2022-06-08,6608.89,6469.8486
2022-06-09,6490.38,6512.0386
2022-06-10,6627.75,6521.937
2022-06-13,6674.8,6565.137
2022-06-14,6665.25,6601.7188
2022-06-15,6653.76,6622.479
2022-06-16,6696.76,6635.018
2022-06-17,6774.74,6649.2593
2022-06-20,6848.75,6671.152
2022-06-21,6779.14,6705.463
2022-06-22,6691.81,6719.6216
2022-06-23,6845.45,6715.3135
2022-06-24,6931.65,6746.792
2022-06-27,7002.93,6791.1465
2022-06-28,7079.72,6843.4194
2022-06-29,6900.99,6902.903
2022-06-30,6995.53,6919.052
2022-07-01,6994.5,6950.4917
2022-07-04,7076.32,6972.4395
2022-07-05,7036.0,7005.7227
2022-07-06,6953.98,7024.4697
2022-07-07,7041.87,7021.349
2022-07-08,7000.79,7035.981
2022-07-11,6893.63,7037.75
2022-07-12,6779.56,7016.0215
2022-07-13,6834.9,6975.2725
2022-07-14,6920.87,6953.5723
2022-07-15,6852.82,6953.784
2022-07-18,6953.93,6939.992
2022-07-19,7009.32,6948.741
2022-07-20,7110.1,6965.655
2022-07-21,7075.29,6998.1655
2022-07-22,7034.6,7017.0444
2022-07-25,6948.91,7022.315
2022-07-26,7027.42,7007.3467
2022-07-27,7099.43,7009.1763
2022-07-28,7150.2,7022.966
2022-07-29,7117.43,7044.923
2022-08-01,7180.45,7053.5405
2022-08-02,6957.98,7067.15
2022-08-03,6916.67,7034.818
2022-08-04,6960.31,6999.6377
2022-08-05,7090.0,6973.3564
2022-08-08,7176.110000000001,6973.796
2022-08-09,7207.4,6984.3267
2022-08-10,7212.08,6995.717
2022-08-11,7294.49,7013.256
2022-08-12,7228.83,7047.218
2022-08-15,7283.5,7061.939
2022-08-16,7324.619999999999,7081.3027
2022-08-17,7328.67,7103.5815
2022-08-18,7351.44,7119.872
2022-08-19,7234.41,7133.482
