Epochs,Training Loss,Validation Loss
1,0.09694655984640121,0.06827656179666519
2,0.07347530126571655,0.05916553735733032
3,0.06319443136453629,0.05235076695680618
4,0.05543607845902443,0.04648750647902489
5,0.04927262291312218,0.042081430554389954
6,0.04371706396341324,0.03673556447029114
7,0.038882460445165634,0.03292887657880783
8,0.03473620489239693,0.029473893344402313
9,0.03149671480059624,0.026432130485773087
10,0.02854657918214798,0.023854060098528862
11,0.02572246640920639,0.021865781396627426
12,0.023478835821151733,0.019682392477989197
13,0.021418342366814613,0.017912233248353004
14,0.019685503095388412,0.016465362161397934
15,0.018303636461496353,0.015081044286489487
16,0.016967017203569412,0.013937575742602348
17,0.015645869076251984,0.01300683245062828
18,0.0147085627540946,0.012002257630228996
19,0.013742387294769287,0.01125030592083931
20,0.012820819392800331,0.01046048291027546
21,0.012247066013514996,0.00997691135853529
22,0.01141440961509943,0.009327386505901814
23,0.010865572839975357,0.008747541345655918
24,0.010185140185058117,0.008239591494202614
25,0.009773320518434048,0.00784545112401247
26,0.009230106137692928,0.0073791444301605225
27,0.008919055573642254,0.00708424486219883
28,0.008502540178596973,0.007042097393423319
29,0.008054173551499844,0.006562051363289356
30,0.00766946654766798,0.006421252153813839
31,0.007389356382191181,0.005906216334551573
32,0.00711323507130146,0.005699058994650841
33,0.0068466998636722565,0.005401004571467638
34,0.006551543716341257,0.005101888440549374
35,0.006332654505968094,0.00493217445909977
36,0.0060363030061125755,0.00472817150875926
37,0.006010884419083595,0.004541929345577955
38,0.005766552407294512,0.004406853578984737
39,0.0054758028127253056,0.004340894054621458
40,0.005273422226309776,0.004134400747716427
41,0.00517256511375308,0.004093529656529427
42,0.0049751196056604385,0.0038111296016722918
43,0.004890053998678923,0.0038104704581201077
44,0.004824815783649683,0.003536340082064271
45,0.004519275855273008,0.00349976122379303
46,0.004416234325617552,0.0033504485618323088
47,0.004391449969261885,0.003319369163364172
48,0.00424114428460598,0.0030882637947797775
49,0.004118670243769884,0.002989771543070674
50,0.003927816636860371,0.0029061385430395603
51,0.003826015628874302,0.0030857636593282223
52,0.0036857128143310547,0.002716859569773078
53,0.003625615267083049,0.0026283888146281242
54,0.0034893150441348553,0.0025576527696102858
55,0.003529204288497567,0.0024908315390348434
56,0.0032731511164456606,0.002380440244451165
57,0.003308070357888937,0.0023232768289744854
58,0.0031239378731697798,0.0022792736999690533
59,0.0031135918106883764,0.0022259836550801992
60,0.003026216058060527,0.002159282797947526
61,0.003066606819629669,0.002104150364175439
62,0.002884753979742527,0.002088695066049695
63,0.002874908735975623,0.0019633760675787926
64,0.0027152409311383963,0.0019440719624981284
65,0.0027704047970473766,0.0019759871065616608
66,0.0027023297734558582,0.001885061152279377
67,0.002617310732603073,0.001765892724506557
