trade_date,Open,Close,High,Low,Volume,CPI,PPI,PMI,Close_Trend,Close_Seasonal,Close_Residual,CPI_Trend,CPI_Cycle,PPI_Trend,PPI_Cycle,PMI_Trend,PMI_Cycle,Log_Return,Daily_PCT_Change,Volume_Change,Volume_Zscore,Volume_Anomaly_Zscore,Volume_outlier,Volume_corrected,Mean,EMA,Volatility,Long_Mean,Long_Volatility,CPI_Volatility,PPI_Volatility,PMI_Volatility,CPI_MoM,PPI_MoM,PMI_MoM,Lag_22,Lag_60,Return,Economic_Expansion,PMI_Price_Corr
2000-01-18,3601.880,3571.97,3633.110,3558.860,7308894.0,101.90,101.00,54.7,0.0,1.004448499270158,0.0,101.89397421876164,0.0060257812383639475,101.00293662351112,-0.0029366235111183414,54.69999999997046,2.9544366952904966e-11,-0.006329364669807958,-0.6309376434423419,0.18165400979223678,-0.8557160074607614,0,False,7308894.0,0.0,3585.8806950567164,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.6309376434423419,0,0.0
2000-01-19,3560.590,3603.86,3640.090,3559.940,7346087.0,101.90,101.00,54.7,0.0,1.0058951908580644,0.0,101.89444195083163,0.005558049168371326,101.00272902517334,-0.002729025173337618,54.69999999996655,3.3452351999585517e-11,0.008888228941837979,0.892784653846479,0.005088731619312004,-0.8555168026580944,0,False,7346087.0,0.0,3587.59300981322,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.892784653846479,0,0.0
2000-01-20,3608.170,3668.84,3670.190,3603.990,9766501.0,101.90,101.00,54.7,0.0,1.0013583846123235,0.0,101.89494874090123,0.005051259098777905,101.00250296833815,-0.002502968338149003,54.69999999996274,3.7260861063259654e-11,0.017870042544954164,1.8030667118034582,0.32948343791735657,-0.8425531241905815,0,False,9766501.0,0.0,3595.330818402437,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.8030667118034582,0,0.0
2000-01-21,3687.190,3702.09,3744.270,3644.080,13849866.0,101.90,101.00,54.7,0.0,0.998329378566927,0.0,101.89550102745332,0.004498972546684854,101.00225538618741,-0.0022553861874143877,54.69999999995906,4.094147243449697e-11,0.00902198922937722,0.9062810043501512,0.4180990715098478,-0.8206827206457764,0,False,13849866.0,0.0,3605.498359506967,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.9062810043501512,0,0.0
2000-01-24,3709.190,3734.73,3736.430,3646.170,14635165.0,101.90,101.00,54.7,0.0,0.9953904749165429,0.0,101.89610559975264,0.003894400247361318,101.00198303808574,-0.001983038085739963,54.69999999995555,4.445155354915187e-11,0.008778001776229019,0.8816641410662518,0.05670083739438336,-0.8164766783171254,0,False,14635165.0,0.0,3617.806134792018,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.8816641410662518,0,0.0
2000-01-25,3752.530,3726.06,3803.770,3702.650,12463115.0,101.90,101.00,54.7,0.0,0.9943117132507822,0.0,101.89676955949258,0.003230440507422827,101.00168252677369,-0.0016825267736919614,54.69999999995223,4.7769788125151535e-11,-0.0023241517058419283,-0.23214529564385966,-0.14841308587911373,-0.8281101252461887,0,False,12463115.0,0.0,3628.116026716588,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.23214529564385966,0,0.0
2000-01-26,3718.130,3737.99,3754.100,3700.660,9642435.0,101.90,101.00,54.7,0.0,0.9955897045363773,0.0,101.89750027881094,0.0024997211890678273,101.0013503172808,-0.0013503172807958208,54.69999999994911,5.0896176162495976e-11,0.0031966586930731156,0.32017734550704446,-0.22632223164112664,-0.84321761866663,0,False,9642435.0,0.0,3638.580214648341,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.32017734550704446,0,0.0
2000-01-27,3782.890,3844.97,3855.350,3754.100,16079228.0,101.90,101.00,54.7,0.0,0.9886151206357352,0.0,101.89830535418164,0.0016946458183610957,101.00098275779442,-0.000982757794417921,54.69999999994617,5.383071766118519e-11,0.028217766784068433,2.8619659228622973,0.6675484978638695,-0.8087423120397729,0,False,16079228.0,0.0,3658.2363846818325,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2.8619659228622973,0,0.0
2000-01-28,3889.140,3952.41,3952.410,3869.420,24523840.0,101.90,101.00,54.7,0.0,0.9879951867111516,0.0,101.89919255567037,0.0008074443296379741,101.00057610272992,-0.0005761027299229227,54.69999999994343,5.657341262121918e-11,0.027559718857291925,2.794300085566337,0.5251876520439911,-0.7635131757222251,0,False,24523840.0,0.0,3686.252919474039,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2.794300085566337,0,0.0
2000-02-14,4102.650,4322.37,4323.350,4096.460,41660200.0,101.90,101.00,54.7,0.0,0.9938165722603417,0.0,101.90016977102644,-0.00016977102643522812,101.00012653825549,-0.00012653825548625264,54.69999999994085,5.915268275202834e-11,0.08947834349131241,9.360364941896204,0.6987633258086825,-0.6717312486867885,0,False,41660200.0,3714.7205000000004,3746.8354985717497,193.4600122009441,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9.360364941896204,0,0.0
2000-02-15,4442.120,4394.69,4578.620,4343.580,44014596.0,101.90,101.00,54.7,0.0,0.9927240514494609,0.0,101.90124494407176,-0.001244944071757459,100.99963021053219,0.00036978946781118793,54.6999999999384,6.160405519040069e-11,0.01659313101585926,1.6731561620129565,0.05651427501548234,-0.6591211610202989,0,False,44014596.0,3759.6020000000003,3808.535927279202,239.05561970298652,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.6731561620129565,0,0.0
2000-02-16,4425.850,4457.41,4475.020,4329.140,32521908.0,101.90,101.00,54.7,0.0,0.9905656726437407,0.0,101.90242600683857,-0.002426006838561534,100.99908325693373,0.0009167430662699871,54.69999999993607,6.393463536369381e-11,0.014170885910544696,1.4271768884722258,-0.26111083695963044,-0.7206757181991303,0,False,32521908.0,3808.1579999999994,3870.333458014516,276.33761289598743,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.4271768884722258,0,0.0
2000-02-17,4564.590,4313.97,4685.490,4256.260,43656024.0,101.90,101.00,54.7,0.0,0.9952704548322802,0.0,101.90372080490465,-0.003720804904645547,100.99848184051368,0.0015181594863236114,54.699999999933866,6.613731784455013e-11,-0.032709286021611036,-3.2180122537527334,0.3423574041227839,-0.6610416639241217,0,False,43656024.0,3841.0964999999997,3912.584557251229,295.72727333198134,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3497.06,0.0,-3.2180122537527334,0,0.0
2000-02-18,4274.100,4356.6,4360.430,4095.670,25284760.0,101.90,101.00,54.7,0.0,0.9961881100756406,0.0,101.90513701537515,-0.005137015375140663,100.99782218798829,0.0021778120117090793,54.69999999993179,6.821210263296962e-11,0.009833342792255033,0.9881848969742535,-0.42081853354304555,-0.7594377067241529,0,False,25284760.0,3867.5245000000004,3954.8717422749214,317.3278552219091,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3486.29,0.0,0.9881848969742535,0,0.0
2000-02-21,4389.420,4344.49,4437.850,4275.300,27742684.0,101.90,101.00,54.7,0.0,0.9973293446813083,0.0,101.90668205696596,-0.006682056965956917,100.99710063150161,0.0028993684983902313,54.69999999992988,7.012346259216429e-11,-0.0027835610984916735,-0.27796905844008624,0.09720970260346551,-0.7462731256096894,0,False,27742684.0,3888.675,3991.9782430106434,334.73323278631744,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3655.2,0.0,-0.27796905844008624,0,0.0
2000-02-22,4341.850,4186.7,4395.910,4174.960,21417148.0,101.90,101.00,54.7,0.0,1.0008353570787691,0.0,101.9083629916558,-0.008362991655801011,100.99631365443462,0.0036863455653843857,54.69999999992817,7.183587058534613e-11,-0.03699554140993991,-3.6319568004529845,-0.2280073550201559,-0.7801525424527078,0,False,21417148.0,3912.171,4010.5231722477247,338.5036868943272,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3828.04,0.0,-3.6319568004529845,0,0.0
2000-02-23,4134.870,4072.47,4164.700,4039.870,18561418.0,101.90,101.00,54.7,0.0,1.0049196535733638,0.0,101.91018641739174,-0.010186417391736313,100.99545794151337,0.0045420584866349145,54.6999999999267,7.329958862101194e-11,-0.027663139139261772,-2.7284018439343694,-0.13333848185575414,-0.79544776281998,0,False,18561418.0,3935.5035000000003,4016.422870128894,332.3019313385281,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3921.48,0.0,-2.7284018439343694,0,0.0
2000-02-24,4056.900,4221.84,4222.660,4056.900,14781034.0,101.90,101.00,54.7,0.0,1.0007857474477058,0.0,101.91215835135746,-0.012158351357456354,100.99453043346014,0.005469566539858306,54.69999999992553,7.44719841350161e-11,0.03602135699219692,3.667798657817012,-0.2036689222773821,-0.8156954075037945,0,False,14781034.0,3967.5465000000004,4035.9864063070945,327.1755926470485,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3716.78,0.0,3.667798657817012,0,0.0
2000-02-25,4254.670,4262.82,4296.540,4189.370,16214137.0,101.90,101.00,54.7,0.0,0.9981955683382736,0.0,101.91428410334647,-0.014284103346469124,100.99352838641796,0.006471613582036184,54.69999999992469,7.531042456321302e-11,0.009659861128935172,0.9706668182593248,0.09695553098653309,-0.8080197427196592,0,False,16214137.0,4003.5464999999995,4057.5896057064188,317.44931962316537,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3605.82,0.0,0.9706668182593248,0,0.0
2000-02-28,4274.660,4481.74,4506.050,4244.730,22639434.0,101.90,101.00,54.7,0.0,0.9972971552776424,0.0,101.9165681388224,-0.016568138822393053,100.99244943636086,0.007550563639142638,54.69999999992425,7.575096105938428e-11,0.050080450773496786,5.135567535105867,0.39627745836858286,-0.7736060083889723,0,False,22639434.0,4047.9010000000003,4097.984881353426,319.2782635867144,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3580.98,0.0,5.135567535105867,0,0.0
2000-02-29,4523.950,4484.16,4562.380,4369.480,24106488.0,101.90,101.00,54.7,0.0,0.9924659975610934,0.0,101.91901393129704,-0.019013931297038766,100.99129166868046,0.008708331319539298,54.69999999992419,7.581490990560269e-11,0.0005398231206610738,0.053996885138363204,0.06480082496762063,-0.765748502875255,0,False,24106488.0,4093.5105000000003,4134.763464081671,312.8006470324949,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3542.82,0.0,0.053996885138363204,0,0.0
2000-03-01,4468.970,4427.2,4510.380,4398.860,20486212.0,101.90,101.00,54.7,0.0,0.9915783341341385,0.0,101.92162380371707,-0.02162380371706263,100.99005369311307,0.009946306886931211,54.69999999992452,7.548095481979544e-11,-0.012783856949191494,-1.270249054449446,-0.15017849136713735,-0.785138613008337,0,False,20486212.0,4134.6775,4162.614562740559,298.8343391963093,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3594.65,0.0,-1.270249054449446,1,0.0
2000-03-02,4409.150,4443.52,4505.640,4375.880,19235320.0,101.90,101.00,54.7,0.0,0.9971127437964619,0.0,101.9243987586172,-0.024398758617195426,100.98873472414012,0.011265275859884127,54.69999999992522,7.478462293875054e-11,0.0036795250921924662,0.3686302855077761,-0.06106019014154496,-0.7918383601117599,0,False,19235320.0,4173.4115,4189.367461527173,285.16938102920363,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3571.97,0.0,0.3686302855077761,1,0.0
2000-03-03,4462.380,4488.27,4581.610,4462.350,24638588.0,101.90,101.00,54.7,0.0,1.0005629562838612,0.0,101.9273382968791,-0.02733829687909406,100.98733466695887,0.012665333041127269,54.699999999926256,7.37472305445408e-11,0.010020471695919842,1.0070844735704965,0.28090346300451463,-0.7628985882273627,0,False,24638588.0,4212.720499999999,4217.834369953157,270.5936855659388,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3603.86,0.0,1.0070844735704965,1,0.0
2000-03-06,4519.990,4316.11,4552.270,4311.890,27195100.0,101.90,101.00,54.7,0.0,0.9943437735950675,0.0,101.93044022502627,-0.03044022502626831,100.98585420907742,0.014145790922583501,54.699999999927655,7.23474613550934e-11,-0.03911279320589444,-3.8357763681775126,0.1037604914697221,-0.749205972184678,0,False,27195100.0,4241.7895,4227.193953767142,246.71656933401871,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3668.84,0.0,-3.8357763681775126,1,0.0
2000-03-07,4278.050,4399.95,4401.650,4261.970,18532668.0,101.90,101.00,54.7,0.0,0.9986960372502658,0.0,101.93370045108935,-0.03370045108934505,100.98429491754086,0.015705082459135156,54.69999999992942,7.058531537040835e-11,0.019238643590542854,1.9424898809344615,-0.318529146794827,-0.7956017471201621,0,False,18532668.0,4275.484,4243.646910551224,216.77585878408888,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3702.09,0.0,1.9424898809344615,1,0.0
2000-03-08,4411.980,4498.22,4515.680,4373.830,19691460.0,101.90,101.00,54.7,0.0,0.9989241388313624,0.0,101.9371127691944,-0.03711276919439399,100.98265934174084,0.017340658259158204,54.69999999993152,6.848210887255846e-11,0.02208858574469844,2.233434470846274,0.06252699287549968,-0.7893952853748879,0,False,19691460.0,4313.4955,4267.8919666892025,181.3193938439783,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3734.73,0.0,2.233434470846274,1,0.0
2000-03-09,4528.860,4548.69,4606.710,4474.330,17909364.0,101.90,101.00,54.7,0.0,0.9997337014821367,0.0,101.94066863315834,-0.04066863315833302,100.98095112169969,0.019048878300310434,54.69999999993395,6.605205271625891e-11,0.011157516452320946,1.121999368639126,-0.09050095828343863,-0.798940148172013,0,False,17909364.0,4348.6815,4294.634636528326,151.43123258725439,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3726.06,0.0,1.121999368639126,1,0.0
2000-03-10,4559.530,4463.66,4587.450,4450.310,16636919.0,101.90,101.00,54.7,0.0,0.9999382659173429,0.0,101.94435691952248,-0.04435691952247112,100.97917510165216,0.02082489834783985,54.699999999936686,6.331646318358253e-11,-0.018870222116538195,-1.8693294113250158,-0.07104914501709836,-0.8057553326188037,0,False,16636919.0,4374.244000000001,4310.732290192295,121.13869204128854,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3737.99,0.0,-1.8693294113250158,1,0.0
2000-03-13,4462.320,4495.92,4520.790,4451.530,21704564.0,101.90,101.00,54.7,0.0,0.9988491662183075,0.0,101.94816368061745,-0.048163680617449245,100.97733744867173,0.022662551328267,54.699999999939706,6.02966565566021e-11,0.007201261535009513,0.722725297177651,0.3046023725907423,-0.778613149352842,0,False,21704564.0,4382.9214999999995,4328.369214935886,123.42166244541494,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3844.97,0.0,0.722725297177651,1,0.0
2000-03-14,4377.180,4371.56,4417.800,4239.930,23897484.0,101.90,101.00,54.7,0.0,1.00136151276355,0.0,101.95207188843222,-0.052071888432209334,100.9754457760053,0.024554223994698532,54.69999999994294,5.7063687108893646e-11,-0.02805039402823086,-2.7660634530863426,0.10103497126226535,-0.7668679232117858,0,False,23897484.0,4381.764999999999,4332.48262303723,123.41395142067054,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3952.41,0.0,-2.7660634530863426,1,0.0
2000-03-15,4365.550,4333.89,4415.470,4326.890,17949268.0,101.90,101.00,54.7,0.0,0.9979893891964967,0.0,101.95606117025565,-0.05606117025564572,100.97350927068807,0.02649072931193075,54.69999999994635,5.3653081977245165e-11,-0.008654402729133334,-0.8617061186395714,-0.24890553331890508,-0.7987264233193359,0,False,17949268.0,4375.589,4332.616658938447,122.5166057015621,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4322.37,0.0,-0.8617061186395714,1,0.0
2000-03-16,4304.600,4131.54,4304.600,4100.780,19436412.0,101.90,101.00,54.7,0.0,0.9995933604080253,0.0,101.96010753727332,-0.06010753727331064,100.97153882490969,0.028461175090313873,54.699999999949895,5.0107473725802265e-11,-0.04781530325551403,-4.669015595688874,0.08285262663636206,-0.7907613162546391,0,False,19436412.0,4366.467500000001,4313.466500944309,133.63245602752284,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4394.69,0.0,-4.669015595688874,1,0.0
2000-03-17,4114.420,4315.0,4327.980,4114.280,15446762.0,101.90,101.00,54.7,0.0,1.0054342053362242,0.0,101.96418310753388,-0.06418310753387857,100.96954717049378,0.030452829506216972,54.69999999995353,4.646949491871055e-11,0.043447105709493346,4.44047498027369,-0.20526679512659018,-0.812129784540607,0,False,15446762.0,4364.3875,4313.612548473422,134.11700327365548,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4457.41,0.0,4.44047498027369,1,0.0
