trade_date,Open,Close,High,Low,Volume,CPI,PPI,PMI,CPI_Volatility,PPI_Volatility,PMI_Volatility,CPI_MOM,PPI_MOM,PMI_MOM,CPI_Trend,CPI_Cycle,PPI_Trend,PPI_Cycle,PMI_Trend,PMI_Cycle,Close_Trend,Close_Seasonal,Close_Residual,Volume_Change,Volume_Zscore,Volume_Anomaly_Zscore,Volume_outlier,Volume_corrected,High_Inflation,Economic_Expansion,PMI_Price_Corr,Stagflation_Risk,Macro_Trend,Divergence_Trend
2005-01-04,994.77,982.79,994.77,980.66,7412868.0,100.6,105.8,54.7,0.0,0.0,0.0,0.5999999999999943,5.799999999999997,0.0,100.4468679380635,0.1531320619364891,105.86144550404411,-0.06144550404411575,54.675841642536305,0.024158357463697655,0.0,1.0116097212287194,0.0,0.0,-1.22502167886841,0,False,7412868.0,0,0,0.0,0,86.99471836154798,0.0
2005-01-05,981.58,992.56,997.32,979.88,7119108.0,100.6,105.8,54.7,0.0,0.0,0.0,0.5999999999999943,5.799999999999997,0.0,100.46666954619519,0.13333045380480257,105.85585781816553,-0.05585781816553492,54.66809881731304,0.03190118268696551,0.0,1.013648481602703,0.0,-0.03962838674585867,-1.2287488210416788,0,False,7119108.0,0,0,0.0,0,86.99687539389124,0.0
2005-01-06,993.33,983.17,993.79,980.33,6288029.0,100.6,105.8,54.7,0.0,0.0,0.0,0.5999999999999943,5.799999999999997,0.0,100.48648178849785,0.11351821150213937,105.85026586523807,-0.050265865238074525,54.66035766975348,0.039642330246522306,0.0,1.0117303906275728,0.0,-0.1167392038440771,-1.2392933117491207,0,False,6288029.0,0,0,0.0,0,86.9990351078298,0.0
2005-01-07,983.05,983.96,995.71,979.81,7298694.0,100.6,105.8,54.7,0.0,0.0,0.0,0.5999999999999943,5.799999999999997,0.0,100.50632455820174,0.09367544179825416,105.84466149919767,-0.04466149919767304,54.65262209288125,0.047377907118750784,0.0,1.007038053744135,0.0,0.16072842539371246,-1.2264702856579348,0,False,7298694.0,0,0,0.0,0,87.00120271676023,0.0
2005-01-10,983.76,993.88,993.96,979.79,5791697.0,100.6,105.8,54.7,0.0,0.0,0.0,0.5999999999999943,5.799999999999997,0.0,100.52622563174623,0.07377436825376549,105.83903308329516,-0.03903308329516619,54.64489873265957,0.05510126734043297,0.0,1.013899558801872,0.0,-0.2064748844108275,-1.2455906290460395,0,False,5791697.0,0,0,0.0,0,87.00338581590033,0.0
2005-01-11,994.19,997.14,999.55,991.09,5849079.0,100.6,105.8,54.7,0.0,0.0,0.0,0.5999999999999943,5.799999999999997,0.0,100.54621929080969,0.0537807091903062,105.83336587928842,-0.03336587928842505,54.63719752518407,0.06280247481593193,0.0,1.0158830973635642,0.0,0.009907631562908081,-1.2448625827763413,0,False,5849079.0,0,0,0.0,0,87.00559423176072,0.0
2005-01-12,996.65,996.75,996.98,989.26,5014525.0,100.6,105.8,54.7,0.0,0.0,0.0,0.5999999999999943,5.799999999999997,0.0,100.56634494029058,0.0336550597094174,105.82764243830454,-0.027642438304539496,54.629532233027334,0.07046776697266921,0.0,1.0250983145036976,0.0,-0.1426812665720535,-1.2554511632817547,0,False,5014525.0,0,0,0.0,0,87.0078398705408,0.0
2005-01-13,996.08,996.88,999.47,992.7,6044065.0,100.6,105.8,54.7,0.0,0.0,0.0,0.5999999999999943,5.799999999999997,0.0,100.58664571985884,0.013354280141157915,105.82184299439572,-0.021842994395726123,54.621920980044926,0.07807901995507649,0.0,1.028915147041604,0.0,0.2053115698894712,-1.2423886566332416,0,False,6044065.0,0,0,0.0,0,87.01013656476648,0.0
2005-01-14,996.62,988.31,1006.46,987.23,7297842.0,100.6,105.8,54.7,0.0,0.0,0.0,0.5999999999999943,5.799999999999997,0.0,100.60716710634134,-0.007167106341341878,105.81594586200039,-0.015945862000393163,54.61438678368734,0.08561321631266594,0.0,1.032712970894296,0.0,0.2074393640703731,-1.2264810955882575,0,False,7297842.0,0,0,0.0,0,87.01249991734302,0.0
2005-01-17,979.11,967.45,981.53,965.08,7288188.0,100.6,105.8,54.7,0.0,0.0,0.0,0.5999999999999943,5.799999999999997,0.0,100.62795550394551,-0.027955503945520377,105.80992783868236,-0.00992783868235847,54.606958083559206,0.09304191644079651,0.0,1.0398454271218915,0.0,-0.001322856811643791,-1.2266035827564927,0,False,7288188.0,0,0,0.0,0,87.01494714206235,0.0
